Syllable	category	barva	poradi	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
S	S	#fdd700	17	0	1	0	0	0	0	0	0	0	0	0	0
S1	S	#fdd700	20	0	0	0	0	0	0	0	0	0	0	0	1
S10	S	#fdd700	2	3	2	2	2	2	2	3	3	2	3	4	3
S2	S	#fdd700	19	1	1	1	1	0	0	0	0	0	0	0	0
S226	S	#fdd700	16	0	0	0	0	0	0	0	0	0	0	0	1
S3	S	#fdd700	18	0	2	2	0	0	0	0	1	1	1	2	2
S4	S	#fdd700	26	3	2	2	1	2	0	1	3	3	3	2	2
S5	S	#fdd700	25	3	3	3	4	3	3	4	3	3	3	3	3
S511	S	#fdd700	23	1	0	0	0	0	0	0	0	0	0	0	0
S6	S	#fdd700	24	2	3	2	3	3	3	3	3	2	3	3	2
S7	S	#fdd700	22	2	1	1	0	2	3	2	2	0	1	2	0
S8	S	#fdd700	21	0	0	1	0	1	1	0	0	0	0	0	1
X10	X	#949494	109	1	0	0	0	0	0	0	0	0	0	0	0
X102	X	#949494	108	0	1	0	0	0	0	0	0	0	0	0	0
X2	X	#949494	42	1	0	0	0	0	0	0	0	0	0	0	0
X5	X	#949494	107	0	2	0	0	0	0	0	0	0	0	0	0
